yield,dose N,dose P,dose K,pH,prec 1,prec 2,prec 3,prec 4,prec 5,temp 1,temp 2,temp 3,temp 4,temp 5,soil P,soil K,soil Ca,soil Mg
5147,21,8.73362445414847,25,5.25,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,4.000000000000006e-6,7.000000000000018e-5,2.600000000000005e-4,3.900000000000008e-5
3488,0,0,0,5.28,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,5.999999999999995e-6,4.3999999999999985e-5,1.6499999999999992e-4,3.4000000000000007e-5
4681,30,8.73362445414847,25,5.32,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,5.000000000000015e-6,4.700000000000014e-5,1.4600000000000038e-4,9.000000000000032e-6
3887,90,8.73362445414847,25,4.8,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,1.1000000000000003e-5,1.600000000000001e-4,2.1800000000000012e-4,3.500000000000003e-5
4600,30,8.73362445414847,25,5.24,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,8.000000000000013e-6,2.000000000000005e-5,8.50000000000002e-5,2.0000000000000046e-6
5139,60,8.73362445414847,25,5.07,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,5.999999999999988e-6,4.699999999999993e-5,2.359999999999998e-4,3.599999999999995e-5
2307,21,8.73362445414847,25,5.11,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,7.000000000000009e-6,3.400000000000005e-5,1.6200000000000012e-4,3.600000000000004e-5
3795,45,8.73362445414847,25,4.82,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,3.0000000000000005e-6,2.5000000000000015e-5,1.5500000000000014e-4,4.000000000000003e-5
2011,15,8.73362445414847,25,5.09,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,7.000000000000021e-6,3.3000000000000125e-05,1.8200000000000066e-4,3.500000000000014e-5
2012,0,8.73362445414847,25,5.16,79.31666666666666,109.89999999999999,47.03333333333333,195.3,83.8,2.1629411764705884,11.348684210526315,16.58529411764706,17.611666666666668,15.919897342995169,4.999999999999993e-6,1.0199999999999997e-4,2.799999999999999e-4,4.500000000000001e-5
